# Koordinat Sudut (x, y) untuk pola (8, 5)
100.0000,100.0000
150.0000,100.0000
200.0000,100.0000
250.0000,100.0000
300.0000,100.0000
350.0000,100.0000
400.0000,100.0000
450.0000,100.0000
100.0000,150.0000
150.0000,150.0000
200.0000,150.0000
250.0000,150.0000
300.0000,150.0000
350.0000,150.0000
400.0000,150.0000
450.0000,150.0000
100.0000,200.0000
150.0000,200.0000
200.0000,200.0000
250.0000,200.0000
300.0000,200.0000
350.0000,200.0000
400.0000,200.0000
450.0000,200.0000
100.0000,250.0000
150.0000,250.0000
200.0000,250.0000
250.0000,250.0000
300.0000,250.0000
350.0000,250.0000
400.0000,250.0000
450.0000,250.0000
100.0000,300.0000
150.0000,300.0000
200.0000,300.0000
250.0000,300.0000
300.0000,300.0000
350.0000,300.0000
400.0000,300.0000
450.0000,300.0000
